Names,Scores
N2,0.785961888025106
H2,0.572699542619243
H,0.99269722312823
O,0.983881391933797
O2,0.754061868322827
OH,0.958356324433318
H2O,0.712707763414131
HO2,0.621088592020009
H2O2,0.729140533927971
N,0.963254819895754
NO,0.616386844594376
NH,0.969074600425366
NH2,0.984589668376511
HNO,0.963209747313669
H2NN,0.89139526974981
NO2,0.554625604729548
N2O',0.530529136416055
NNH,0.983428015616421
HONO,0.826479126589168
HONO2,0.214671300586959
T,0.738197912963839
